,ATM,ALT,OI1356,OI1304
301,2.74,192000000.0,8.635209409760126e-07,4.0099443591140204e-07
302,2.74,194000000.0,8.773183787468446e-07,4.068049494662542e-07
303,2.74,196000000.0,8.470704048757372e-07,3.9281695965726853e-07
304,2.74,198000000.0,8.495893035803994e-07,3.939666081828954e-07
305,2.74,200000000.0,8.408014106663746e-07,3.9019911501119333e-07
306,2.74,202000000.0,8.559148028946369e-07,3.970970061650987e-07
307,2.74,204000000.0,8.471304415496791e-07,3.9336154757691083e-07
308,2.74,206000000.0,8.509017264686037e-07,3.9502195119835546e-07
309,2.74,208000000.0,8.559183344636133e-07,3.971290407485677e-07
310,2.74,210000000.0,8.621802655347135e-07,3.996828162275506e-07
311,2.74,212000000.0,5.888797560725968e-07,2.749459511939107e-07
312,2.74,214000000.0,6.015590072537705e-07,2.8146302382651166e-07
313,2.74,216000000.0,6.065968046631845e-07,2.837623208778101e-07
314,2.74,218000000.0,3.14408086484775e-07,1.5043512648528695e-07
315,2.74,220000000.0,2.3251562602884905e-07,1.128152727333692e-07
316,2.74,222000000.0,3.76025752385566e-07,1.777365816089493e-07
317,2.74,224000000.0,6.227612836688239e-07,2.893449958671937e-07
318,2.74,226000000.0,5.749022082791388e-07,2.6750167387973325e-07
319,2.74,228000000.0,5.911938237712588e-07,2.7423759387566023e-07
320,2.74,230000000.0,5.445941977339403e-07,2.529690961510309e-07
321,2.74,232000000.0,3.4685005470629434e-07,1.6262558313655506e-07
322,2.74,234000000.0,3.5063193433242426e-07,1.643820905085443e-07
323,2.74,236000000.0,3.3931101643744076e-07,1.5933681047714466e-07
324,2.74,238000000.0,3.607322501347344e-07,1.6920492669574676e-07
325,2.74,240000000.0,3.5065665531584517e-07,1.6460633259311952e-07
326,2.74,242000000.0,3.5191610466819204e-07,1.6518115685594083e-07
327,2.74,244000000.0,3.5443500337289987e-07,1.6633080538159045e-07
328,2.74,246000000.0,3.607534395490826e-07,1.6939713419680504e-07
329,2.74,248000000.0,5.484078614815111e-07,2.550139147745668e-07
330,2.74,250000000.0,6.113732659613221e-07,2.836910587489031e-07
331,2.74,252000000.0,6.227365626850737e-07,2.891207537824547e-07
332,2.74,254000000.0,6.391094042657283e-07,2.9659346919920396e-07
333,2.74,256000000.0,6.027937356222175e-07,2.8181360600452e-07
334,2.74,258000000.0,5.750858498702938e-07,2.6916747222230576e-07
335,2.74,260000000.0,6.416071135559802e-07,2.9755091022374183e-07
336,2.74,262000000.0,7.499162262897527e-07,3.469537622433617e-07
337,2.74,264000000.0,3.330278959517537e-07,1.5659082749698534e-07
338,2.74,266000000.0,3.318108254281838e-07,1.564004182363205e-07
339,2.74,268000000.0,3.45664768304123e-07,1.6272348512741637e-07
340,2.74,270000000.0,4.112091081627672e-07,1.9309486554713604e-07
341,2.74,272000000.0,2.726696794032953e-07,1.2986419663613778e-07
342,2.74,274000000.0,2.6871828446196717e-07,1.2657002925547787e-07
343,2.74,276000000.0,2.6116511991687614e-07,1.2315311826202604e-07
344,2.74,278000000.0,2.498512651600405e-07,1.1817190739766164e-07
345,2.74,280000000.0,2.5110365137426005e-07,1.1868266249345799e-07
346,2.74,282000000.0,2.498442020218942e-07,1.1810783823062722e-07
347,2.74,284000000.0,2.9266194843301436e-07,1.3761982858323324e-07
348,2.74,286000000.0,2.9769974584244213e-07,1.3991912563453853e-07
349,2.74,288000000.0,5.71010850011455e-07,2.64752094418568e-07
350,2.74,290000000.0,6.680449552481193e-07,3.0952611599247436e-07
351,2.74,292000000.0,8.393441934451453e-07,3.878303540710161e-07
352,2.74,294000000.0,5.9644704689324e-07,2.784910005210637e-07
353,2.74,296000000.0,6.6445731192059e-07,3.095315107137221e-07
354,2.74,298000000.0,6.944121655590869e-07,3.208606300910077e-07
355,2.74,300000000.0,8.405082904326612e-07,3.8754024457894413e-07
356,2.74,302000000.0,9.966906048322994e-07,4.589145569200372e-07
357,2.74,304000000.0,6.780251977021266e-07,3.1325977634018296e-07
358,2.74,306000000.0,7.195481790702159e-07,3.31876596594819e-07
359,2.74,308000000.0,7.774581282952296e-07,3.5809427060026184e-07
360,2.74,310000000.0,8.756951777791759e-07,4.0293056310076627e-07
361,2.74,312000000.0,7.851348977576094e-07,3.626323920166813e-07
362,2.74,314000000.0,9.287121239264551e-07,4.281623579789577e-07
363,2.74,316000000.0,1.2573295209581297e-06,5.772945222384223e-07
