,UTC,ALT,H2P,H3P,O2P,E
562,165400,3040.0,5.922996274485859,4.410684647256984,4.8000127939662995,10.0
563,165400,3060.0,5.926095400070314,4.418470549235114,4.7999065223757125,10.0
564,165400,3080.0,5.929139357221658,4.426102064445914,4.799806245467527,10.0
565,165400,3100.0,5.932136534971396,4.433598987209859,4.799714426357323,10.0
566,165400,3120.0,5.9350953975896745,4.440981501918498,4.799618477393782,10.0
567,165400,3140.0,5.937988944882612,4.448249824039453,4.799533517797194,10.0
568,165400,3160.0,5.9408445755510435,4.455403455397214,4.799470737665106,10.0
569,165400,3180.0,5.943689594502989,4.462475720060153,4.799347653568442,10.0
570,165400,3200.0,5.946504401581739,4.469485215106377,4.799227166761091,10.0
571,165400,3220.0,5.949288597631878,4.4764305575935905,4.7991089075775255,10.0
572,165400,3240.0,5.951989971989554,4.483282765812403,4.798992744563573,10.0
573,165400,3260.0,5.954620462900056,4.490003325591377,4.7988802754514275,10.0
574,165400,3280.0,5.957172717522883,4.49657313244082,4.79876969640803,10.0
575,165400,3300.0,5.959656820792514,4.502983039715459,4.798660752635145,10.0
576,165400,3320.0,5.962142615827238,4.5092723799017564,4.79855388206804,10.0
577,165400,3340.0,5.964609203400019,4.515489355952633,4.798452238197992,10.0
578,165400,3360.0,5.967064458663887,4.521653388703602,4.798354934538102,10.0
579,165400,3380.0,5.969481627620853,4.527764777595446,4.798260612001862,10.0
580,165400,3400.0,5.9718187627519415,4.533785088812099,4.798167599165908,10.0
581,165400,3420.0,5.974087559749474,4.5396756042683855,4.7980872707576125,10.0
582,165400,3440.0,5.9763152078441735,4.545437067986481,4.797994891168613,10.0
583,165400,3460.0,5.978509873704439,4.551089998354686,4.797905213600114,10.0
584,165400,3480.0,5.980731441123431,4.556682511262736,4.797815615645309,10.0
585,165400,3500.0,5.982924214645064,4.562243163513489,4.797725875541715,10.0
586,165400,3520.0,5.985098062321942,4.567763372711951,4.797626526093989,10.0
587,165400,3540.0,5.987235815608001,4.573233181911893,4.797528324202156,10.0
588,165400,3560.0,5.98931279944741,4.578623392977951,4.79743180146123,10.0
589,165400,3580.0,5.991365442005195,4.583924759595821,4.797337774109406,10.0
590,165400,3600.0,5.993367301637534,4.589137255623142,4.797245269072252,10.0
591,165400,3620.0,5.995345175434489,4.594261243605934,4.79715459437835,10.0
592,165400,3640.0,5.997289697610716,4.599306385788381,4.797065346350331,10.0
593,165400,3660.0,5.9992010545668055,4.604272910794095,4.796977507915787,10.0
594,165400,3680.0,6.001062370250437,4.609151209746423,4.796891047117646,10.0
595,165400,3700.0,6.002900339146796,4.6139416801128155,4.79680624038243,10.0
596,165400,3720.0,6.004705772956028,4.618654131544764,4.796722750276608,10.0
597,165400,3740.0,6.006478816558075,4.623288575096384,4.796640547480652,10.0
598,165400,3760.0,6.00823650282315,4.62785471539115,4.796560773273073,10.0
599,165400,3780.0,6.009986423147739,4.6323717843718235,4.796482478514474,10.0
600,165400,3800.0,6.011702204657086,4.636839903633174,4.796405353042042,10.0
601,165400,3820.0,6.013410464342033,4.641259303365972,4.79632941684801,10.0
602,165400,3840.0,6.015101774603082,4.645639622789559,4.796254599417912,10.0
603,165400,3860.0,6.016776214265436,4.649980949897065,4.796180920820474,10.0
604,165400,3880.0,6.01843387643662,4.654283428689412,4.796108269921552,10.0
605,165400,3900.0,6.020074868810727,4.658547171677309,4.796036710769924,10.0
606,165400,3920.0,6.0216992870621375,4.662772294804154,4.795966178082587,10.0
607,165400,3940.0,6.023290307737844,4.66694927057293,4.795896691963496,10.0
608,165400,3960.0,6.02487442910564,4.671078291877584,4.795828230437365,10.0
609,165400,3980.0,6.026425334904542,4.675159356103645,4.7957607721201265,10.0
610,165400,4000.0,6.027918933580006,4.6791637407970725,4.795694296199801,10.0
611,165400,4020.0,6.029391157993183,4.68308229033913,4.795628782418071,10.0
612,165400,4040.0,6.030832660379901,4.686924497247121,4.7955642497160635,10.0
613,165400,4060.0,6.032243524690779,4.690690433231278,4.795500639696768,10.0
614,165400,4080.0,6.033657534380202,4.694399425947192,4.795500639696768,0.0
615,165500,0.259,0.00017141767565547768,0.003057595697730458,25439.146127107226,998.1517101952171
616,165500,18.0,0.0,0.0,15594.820854964977,879.350749407306
617,165500,41.0,0.0,0.0,9934.675953421565,746.1287229015829
618,165500,60.2,0.0,0.0,6940.236576154011,650.5090947233166
619,165500,81.2,0.0,0.0,4794.797509383438,559.8983665654021
620,165500,101.0,0.0,0.0,3412.153682806485,486.05739204385736
621,165500,121.0,0.0,0.0,2418.873004720161,421.3524111730297
622,165500,140.0,0.0,0.0,1744.6129221572355,367.87944117144235
623,165500,159.0,0.0,0.0,1284.0962333021412,321.1926160807867
624,165500,179.0,0.0,0.0,925.7196266425835,278.43478044337877
625,165500,202.0,0.0,0.0,624.5503242581252,236.251788360476
626,165500,221.0,0.0,0.0,470.77252005886396,206.26955862396866
627,165500,241.0,0.0,0.0,341.21536828064853,178.81052176234286
628,165500,261.0,0.0,0.0,253.80999431354422,155.00688955857393
629,165500,282.0,0.0,0.0,169.12902733002838,133.41566624390262
630,165500,302.0,0.0,0.0,134.14951871019503,115.6550925472855
631,165500,318.0,0.0,0.0,106.38486812268347,103.16469662481963
632,165500,339.0,0.0,0.0,80.26176749451842,88.79467727045349
633,165500,361.0,0.0,0.0,58.799468909371505,75.88232995726563
